              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 12:00:43 (7/5/2025) 
DRT4 Serial Number: #3173 
Comment:  

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 15 
Active Mark Number: 15 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
1: 	0	10	47	Event1	PC User Marker			
2: 	0	12	19	Event2	PC User Marker			
3: 	0	15	21	Event3	PC User Marker			
4: 	0	16	59	Event4	PC User Marker			
5: 	0	19	22	Event5	PC User Marker			
6: 	0	21	44	Event6	PC User Marker			
7: 	0	23	26	Event7	PC User Marker			
8: 	0	25	15	Event8	PC User Marker			
9: 	0	26	17	Event9	PC User Marker			
10: 	0	27	44	Event10	PC User Marker			
11: 	0	27	59	Event11	PC User Marker			
12: 	0	28	52	Event12	PC User Marker			
13: 	0	29	43	Event13	PC User Marker			
14: 	0	30	31	Event14	PC User Marker			
15: 	0	30	54	Event15				


4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
551	0	9	10	 59.0 
552	0	9	11	 65.9 
553	0	9	12	 82.3 
554	0	9	13	 96.7 
555	0	9	14	101.1 
556	0	9	15	108.7 
557	0	9	16	104.7 
558	0	9	17	 93.0 
559	0	9	18	 91.5 
560	0	9	19	 81.6 
561	0	9	20	 79.4 
562	0	9	21	 88.0 
563	0	9	22	 96.7 
564	0	9	23	106.2 
565	0	9	24	103.2 
566	0	9	25	100.1 
567	0	9	26	 94.0 
568	0	9	27	 97.2 
569	0	9	28	 89.5 
570	0	9	29	 81.9 
571	0	9	30	 81.1 
572	0	9	31	 96.9 
573	0	9	32	 88.8 
574	0	9	33	 97.8 
575	0	9	34	107.0 
576	0	9	35	 95.2 
577	0	9	36	 94.3 
578	0	9	37	100.4 
579	0	9	38	 93.0 
580	0	9	39	107.4 
581	0	9	40	 94.0 
582	0	9	41	 95.8 
583	0	9	42	105.8 
584	0	9	43	111.1 
585	0	9	44	112.0 
586	0	9	45	120.4 
587	0	9	46	114.6 
588	0	9	47	123.9 
589	0	9	48	118.3 
590	0	9	49	120.0 
591	0	9	50	122.6 
592	0	9	51	122.4 
593	0	9	52	123.9 
594	0	9	53	126.2 
595	0	9	54	123.8 
596	0	9	55	115.9 
597	0	9	56	113.0 
598	0	9	57	124.2 
599	0	9	58	118.2 
600	0	9	59	130.7 
601	0	10	0	135.7 
602	0	10	1	140.3 
603	0	10	2	139.3 
604	0	10	3	124.0 
605	0	10	4	115.9 
606	0	10	5	106.1 
607	0	10	6	103.2 
608	0	10	7	104.0 
609	0	10	8	119.8 
610	0	10	9	120.7 
611	0	10	10	132.0 
612	0	10	11	138.6 
613	0	10	12	151.5 
614	0	10	13	177.6 
615	0	10	14	190.3 
616	0	10	15	192.6 
617	0	10	16	147.3 
618	0	10	17	114.1 
619	0	10	18	114.6 
620	0	10	19	 97.8 
621	0	10	20	105.3 
622	0	10	21	126.1 
623	0	10	22	148.6 
624	0	10	23	170.6 
625	0	10	24	179.6 
626	0	10	25	185.9 
627	0	10	26	193.1 
628	0	10	27	189.3 
629	0	10	28	185.9 
630	0	10	29	179.1 
631	0	10	30	183.0 
632	0	10	31	196.0 
633	0	10	32	204.9 
634	0	10	33	206.6 
635	0	10	34	201.1 
636	0	10	35	211.4 
637	0	10	36	206.0 
638	0	10	37	188.8 
639	0	10	38	191.5 
640	0	10	39	205.7 
641	0	10	40	186.8 
642	0	10	41	195.9 
643	0	10	42	221.0 
644	0	10	43	223.5 
645	0	10	44	216.5 
646	0	10	45	225.3 
647	0	10	46	231.3 
648	0	10	47	231.1 
649	0	10	48	236.2 
650	0	10	49	241.9 
651	0	10	50	236.2 
652	0	10	51	255.5 
653	0	10	52	234.4 
654	0	10	53	240.2 
655	0	10	54	251.8 
656	0	10	55	270.4 
657	0	10	56	252.4 
658	0	10	57	242.2 
659	0	10	58	225.3 
660	0	10	59	210.2 
661	0	11	0	181.0 
662	0	11	1	177.8 
663	0	11	2	169.1 
664	0	11	3	159.1 
665	0	11	4	163.0 
666	0	11	5	159.8 
667	0	11	6	164.3 
668	0	11	7	172.0 
669	0	11	8	191.7 
670	0	11	9	196.4 
671	0	11	10	200.2 
672	0	11	11	179.3 
673	0	11	12	194.2 
674	0	11	13	204.5 
675	0	11	14	169.8 
676	0	11	15	135.8 
677	0	11	16	124.3 
678	0	11	17	137.4 
679	0	11	18	153.8 
680	0	11	19	176.1 
681	0	11	20	176.3 
682	0	11	21	190.3 
683	0	11	22	197.2 
684	0	11	23	192.6 
685	0	11	24	192.5 
686	0	11	25	186.7 
687	0	11	26	214.2 
688	0	11	27	206.2 
689	0	11	28	211.2 
690	0	11	29	183.1 
691	0	11	30	174.5 
692	0	11	31	183.7 
693	0	11	32	188.5 
694	0	11	33	187.6 
695	0	11	34	202.8 
696	0	11	35	212.6 
697	0	11	36	219.9 
698	0	11	37	223.2 
699	0	11	38	214.6 
700	0	11	39	211.1 
701	0	11	40	195.2 
702	0	11	41	182.4 
703	0	11	42	188.5 
704	0	11	43	188.0 
705	0	11	44	198.7 
706	0	11	45	201.3 
707	0	11	46	203.3 
708	0	11	47	217.6 
709	0	11	48	203.0 
710	0	11	49	285.8 
711	0	11	50	257.7 
712	0	11	51	241.8 
713	0	11	52	196.5 
714	0	11	53	194.6 
715	0	11	54	188.1 
716	0	11	55	181.7 
717	0	11	56	164.9 
718	0	11	57	171.7 
719	0	11	58	180.0 
720	0	11	59	173.3 
721	0	12	0	163.9 
722	0	12	1	163.9 
723	0	12	2	164.2 
724	0	12	3	169.9 
725	0	12	4	179.8 
726	0	12	5	186.4 
727	0	12	6	192.7 
728	0	12	7	207.9 
729	0	12	8	210.8 
730	0	12	9	245.8 
731	0	12	10	221.4 
732	0	12	11	216.4 
733	0	12	12	157.2 
734	0	12	13	 90.0 
735	0	12	14	 62.5 
736	0	12	15	 52.7 
737	0	12	16	 48.7 
738	0	12	17	 44.9 
739	0	12	18	 54.2 
740	0	12	19	 75.1 
741	0	12	20	 98.3 
742	0	12	21	124.2 
743	0	12	22	148.9 
744	0	12	23	177.6 
745	0	12	24	171.4 
746	0	12	25	167.1 
747	0	12	26	174.9 
748	0	12	27	165.3 
749	0	12	28	157.2 
750	0	12	29	146.8 
751	0	12	30	135.0 
752	0	12	31	128.5 
753	0	12	32	121.7 
754	0	12	33	120.8 
755	0	12	34	121.0 
