              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 11:11:48 (13/3/2026)
DRT4 Serial Number: #3173
Comment: 
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	110.2 
2	0	0	1	117.6 
722	0	12	1	157.6 
723	0	12	2	108.7 
724	0	12	3	 73.4 
725	0	12	4	 50.1 
726	0	12	5	 41.8 
727	0	12	6	 72.0 
728	0	12	7	 64.2 
729	0	12	8	 80.0 
730	0	12	9	119.7 
731	0	12	10	138.3 
732	0	12	11	205.2 
733	0	12	12	238.8 
734	0	12	13	227.4 
735	0	12	14	202.9 
736	0	12	15	182.1 
737	0	12	16	213.2 
738	0	12	17	194.9 
739	0	12	18	188.3 
740	0	12	19	152.0 
741	0	12	20	116.8 
742	0	12	21	104.6 
743	0	12	22	 94.0 
744	0	12	23	 60.6 
745	0	12	24	 53.5 
746	0	12	25	 50.2 
747	0	12	26	 64.8 
748	0	12	27	 86.5 
749	0	12	28	 87.5 
750	0	12	29	111.7 
751	0	12	30	103.2 
752	0	12	31	107.4 
753	0	12	32	104.4 
754	0	12	33	 97.9 
755	0	12	34	 82.8 
756	0	12	35	 75.5 
757	0	12	36	 76.8 
758	0	12	37	 56.5 
759	0	12	38	 53.2 
760	0	12	39	 28.7 
761	0	12	40	 32.2 
762	0	12	41	 25.1 
763	0	12	42	 16.2 
764	0	12	43	 24.8 
765	0	12	44	 58.5 
766	0	12	45	 72.2 
767	0	12	46	 62.1 
768	0	12	47	 56.1 
769	0	12	48	 78.5 
770	0	12	49	 86.8 
771	0	12	50	107.5 
772	0	12	51	 98.2 
773	0	12	52	101.2 
774	0	12	53	101.3 
775	0	12	54	196.0 
776	0	12	55	 97.0 
777	0	12	56	117.5 
778	0	12	57	104.4 
779	0	12	58	 82.7 
780	0	12	59	 54.3 
781	0	13	0	 43.6 
782	0	13	1	 36.5 
783	0	13	2	 23.8 
784	0	13	3	 25.0 
785	0	13	4	 81.8 
786	0	13	5	240.5 
787	0	13	6	168.7 
788	0	13	7	132.0 
789	0	13	8	112.1 
790	0	13	9	 90.1 
791	0	13	10	102.0 
792	0	13	11	129.8 
793	0	13	12	113.2 
794	0	13	13	110.1 
795	0	13	14	 76.8 
796	0	13	15	 74.2 
797	0	13	16	101.8 
798	0	13	17	 79.3 
799	0	13	18	 74.1 
