              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 16:01:16 (11/3/2026) 
DRT4 Serial Number: #3173 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	140.4 
2	0	0	1	150.5 
430	0	7	9	121.1 
431	0	7	10	122.5 
432	0	7	11	126.4 
433	0	7	12	129.3 
434	0	7	13	122.1 
435	0	7	14	124.8 
436	0	7	15	121.1 
437	0	7	16	118.1 
438	0	7	17	123.2 
439	0	7	18	124.1 
440	0	7	19	126.4 
441	0	7	20	131.3 
442	0	7	21	133.8 
443	0	7	22	131.4 
444	0	7	23	143.3 
445	0	7	24	149.4 
446	0	7	25	149.7 
447	0	7	26	162.9 
448	0	7	27	161.6 
449	0	7	28	162.7 
450	0	7	29	165.9 
451	0	7	30	167.5 
452	0	7	31	163.2 
453	0	7	32	157.1 
454	0	7	33	154.9 
455	0	7	34	156.4 
456	0	7	35	154.3 
457	0	7	36	164.6 
458	0	7	37	163.2 
459	0	7	38	162.2 
460	0	7	39	164.3 
461	0	7	40	195.0 
462	0	7	41	199.0 
463	0	7	42	209.0 
464	0	7	43	193.2 
465	0	7	44	204.9 
466	0	7	45	219.2 
467	0	7	46	218.1 
468	0	7	47	198.5 
469	0	7	48	183.1 
470	0	7	49	173.8 
471	0	7	50	177.9 
472	0	7	51	177.9 
473	0	7	52	185.1 
474	0	7	53	188.9 
475	0	7	54	190.8 
476	0	7	55	171.6 
477	0	7	56	164.4 
478	0	7	57	163.5 
479	0	7	58	164.0 
480	0	7	59	170.4 
481	0	8	0	169.7 
482	0	8	1	173.4 
483	0	8	2	177.8 
484	0	8	3	179.4 
485	0	8	4	186.5 
486	0	8	5	179.6 
487	0	8	6	206.6 
488	0	8	7	228.0 
489	0	8	8	206.0 
490	0	8	9	216.9 
491	0	8	10	234.7 
492	0	8	11	220.7 
493	0	8	12	247.7 
494	0	8	13	301.8 
495	0	8	14	241.1 
