              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 13:35:32 (12/3/2026) 
DRT4 Serial Number: #3173 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	 85.7 
2	0	0	1	 87.6 
465	0	7	44	231.6 
466	0	7	45	213.9 
467	0	7	46	194.0 
468	0	7	47	184.7 
469	0	7	48	212.2 
470	0	7	49	189.3 
471	0	7	50	144.6 
472	0	7	51	121.4 
473	0	7	52	107.2 
474	0	7	53	 80.5 
475	0	7	54	 77.6 
476	0	7	55	151.6 
477	0	7	56	 94.7 
478	0	7	57	143.3 
479	0	7	58	129.8 
480	0	7	59	154.8 
481	0	8	0	140.5 
482	0	8	1	148.6 
483	0	8	2	188.2 
484	0	8	3	197.1 
485	0	8	4	141.8 
486	0	8	5	 80.4 
487	0	8	6	 61.6 
488	0	8	7	 79.8 
489	0	8	8	 74.5 
490	0	8	9	 72.9 
491	0	8	10	130.7 
492	0	8	11	112.0 
493	0	8	12	139.6 
494	0	8	13	 95.4 
495	0	8	14	 99.6 
496	0	8	15	106.0 
497	0	8	16	114.6 
498	0	8	17	 76.6 
499	0	8	18	105.2 
500	0	8	19	168.0 
501	0	8	20	181.8 
502	0	8	21	221.2 
503	0	8	22	205.6 
504	0	8	23	148.6 
505	0	8	24	122.0 
506	0	8	25	100.9 
507	0	8	26	 75.0 
508	0	8	27	 49.3 
509	0	8	28	 62.7 
510	0	8	29	 64.2 
511	0	8	30	 63.4 
512	0	8	31	104.6 
513	0	8	32	 76.8 
514	0	8	33	 63.2 
515	0	8	34	 81.7 
516	0	8	35	 75.9 
517	0	8	36	 83.9 
518	0	8	37	 82.8 
519	0	8	38	125.1 
520	0	8	39	175.1 
521	0	8	40	131.6 
522	0	8	41	123.5 
523	0	8	42	123.1 
524	0	8	43	126.0 
525	0	8	44	129.6 
526	0	8	45	130.8 
527	0	8	46	133.1 
528	0	8	47	123.7 
529	0	8	48	152.2 
530	0	8	49	 85.5 
531	0	8	50	 82.4 
532	0	8	51	 61.8 
533	0	8	52	 56.2 
534	0	8	53	 46.6 
535	0	8	54	 51.6 
536	0	8	55	 73.4 
537	0	8	56	133.6 
538	0	8	57	161.6 
539	0	8	58	199.1 
540	0	8	59	181.5 
541	0	9	0	125.5 
542	0	9	1	 90.8 
543	0	9	2	 67.6 
544	0	9	3	 76.3 
545	0	9	4	116.8 
546	0	9	5	 79.4 
547	0	9	6	 51.8 
548	0	9	7	 59.5 
549	0	9	8	142.4 
550	0	9	9	101.5 
551	0	9	10	 97.2 
552	0	9	11	105.6 
553	0	9	12	126.8 
554	0	9	13	122.7 
555	0	9	14	117.8 
556	0	9	15	124.6 
557	0	9	16	148.7 
558	0	9	17	135.9 
559	0	9	18	117.6 
560	0	9	19	 96.7 
561	0	9	20	 75.2 
562	0	9	21	 67.3 
563	0	9	22	 55.9 
564	0	9	23	 78.8 
565	0	9	24	101.4 
566	0	9	25	 76.0 
567	0	9	26	 91.3 
568	0	9	27	138.5 
569	0	9	28	 68.8 
570	0	9	29	119.5 
571	0	9	30	149.0 
572	0	9	31	152.7 
573	0	9	32	141.1 
574	0	9	33	146.1 
575	0	9	34	210.8 
576	0	9	35	226.8 
577	0	9	36	238.9 
578	0	9	37	185.8 
579	0	9	38	145.9 
580	0	9	39	162.1 
581	0	9	40	109.8 
582	0	9	41	 76.8 
583	0	9	42	 57.4 
584	0	9	43	 54.4 
585	0	9	44	 68.2 
586	0	9	45	146.2 
587	0	9	46	 81.2 
588	0	9	47	 91.6 
589	0	9	48	103.1 
590	0	9	49	113.6 
591	0	9	50	120.5 
592	0	9	51	141.1 
593	0	9	52	178.8 
594	0	9	53	159.4 
595	0	9	54	162.4 
596	0	9	55	142.8 
597	0	9	56	123.7 
598	0	9	57	147.4 
599	0	9	58	152.9 
600	0	9	59	120.2 
601	0	10	0	117.1 
602	0	10	1	118.0 
603	0	10	2	133.0 
604	0	10	3	145.7 
605	0	10	4	130.1 
606	0	10	5	101.9 
607	0	10	6	 88.1 
608	0	10	7	 82.7 
609	0	10	8	 93.9 
610	0	10	9	110.7 
611	0	10	10	111.8 
612	0	10	11	107.2 
613	0	10	12	163.3 
614	0	10	13	186.2 
615	0	10	14	198.9 
616	0	10	15	195.5 
617	0	10	16	181.5 
618	0	10	17	156.2 
619	0	10	18	113.3 
620	0	10	19	 82.8 
621	0	10	20	 69.1 
622	0	10	21	 72.5 
623	0	10	22	130.8 
624	0	10	23	 60.3 
625	0	10	24	 40.0 
626	0	10	25	 46.1 
627	0	10	26	 63.0 
628	0	10	27	 83.9 
629	0	10	28	131.7 
630	0	10	29	151.4 
631	0	10	30	115.6 
632	0	10	31	 46.4 
633	0	10	32	 27.9 
634	0	10	33	 25.4 
635	0	10	34	 14.5 
636	0	10	35	 20.5 
637	0	10	36	 40.6 
638	0	10	37	 42.8 
639	0	10	38	 93.3 
640	0	10	39	131.0 
641	0	10	40	119.1 
642	0	10	41	122.8 
643	0	10	42	125.7 
644	0	10	43	146.6 
645	0	10	44	192.1 
646	0	10	45	170.8 
647	0	10	46	156.9 
648	0	10	47	177.1 
649	0	10	48	145.0 
650	0	10	49	 94.1 
651	0	10	50	 78.5 
652	0	10	51	 69.7 
653	0	10	52	 73.6 
654	0	10	53	107.8 
655	0	10	54	 85.6 
656	0	10	55	 84.6 
657	0	10	56	 75.4 
658	0	10	57	 77.1 
659	0	10	58	128.1 
660	0	10	59	142.5 
661	0	11	0	115.6 
662	0	11	1	100.8 
663	0	11	2	 88.8 
664	0	11	3	 94.9 
665	0	11	4	 88.1 
666	0	11	5	128.0 
667	0	11	6	134.5 
668	0	11	7	129.5 
669	0	11	8	127.0 
670	0	11	9	121.1 
671	0	11	10	127.3 
672	0	11	11	137.1 
673	0	11	12	114.9 
674	0	11	13	137.2 
675	0	11	14	127.0 
676	0	11	15	133.4 
677	0	11	16	162.5 
678	0	11	17	206.9 
679	0	11	18	180.1 
680	0	11	19	156.8 
681	0	11	20	143.7 
682	0	11	21	144.5 
683	0	11	22	136.0 
684	0	11	23	159.9 
685	0	11	24	170.6 
686	0	11	25	174.7 
687	0	11	26	170.5 
688	0	11	27	140.2 
689	0	11	28	100.6 
690	0	11	29	 83.4 
691	0	11	30	 79.9 
692	0	11	31	 75.0 
693	0	11	32	 60.1 
694	0	11	33	 81.8 
695	0	11	34	 87.5 
696	0	11	35	 78.4 
697	0	11	36	100.3 
698	0	11	37	 77.3 
699	0	11	38	 60.4 
700	0	11	39	 93.9 
701	0	11	40	 91.0 
702	0	11	41	133.4 
703	0	11	42	121.0 
704	0	11	43	122.1 
705	0	11	44	116.8 
706	0	11	45	 94.6 
707	0	11	46	 80.6 
708	0	11	47	 77.8 
709	0	11	48	 79.1 
710	0	11	49	 51.2 
711	0	11	50	 31.8 
712	0	11	51	 56.7 
713	0	11	52	 73.1 
714	0	11	53	 92.4 
715	0	11	54	107.5 
716	0	11	55	 79.0 
717	0	11	56	 55.6 
718	0	11	57	 88.5 
719	0	11	58	132.3 
720	0	11	59	130.4 
721	0	12	0	163.1 
722	0	12	1	235.2 
723	0	12	2	251.5 
724	0	12	3	233.2 
725	0	12	4	217.6 
726	0	12	5	186.3 
727	0	12	6	136.4 
728	0	12	7	112.3 
729	0	12	8	104.3 
730	0	12	9	 86.3 
731	0	12	10	 99.2 
732	0	12	11	 85.8 
733	0	12	12	102.4 
734	0	12	13	117.6 
735	0	12	14	125.9 
736	0	12	15	111.9 
737	0	12	16	 89.1 
738	0	12	17	 85.6 
