              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 17:34:16 (8/10/2025)
DRT4 Serial Number: #3173
Comment: 

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2



4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
632	0	10	31	 39.2	  0.0 
633	0	10	32	 36.7	  0.0 
634	0	10	33	 39.0	  0.0 
635	0	10	34	 42.6	  0.0 
636	0	10	35	 42.2	  0.0 
637	0	10	36	 42.2	  0.0 
638	0	10	37	 44.5	  0.0 
639	0	10	38	 37.1	  0.0 
640	0	10	39	 38.4	  0.0 
641	0	10	40	 40.2	  0.0 
642	0	10	41	 40.2	  0.0 
643	0	10	42	 35.6	  0.0 
644	0	10	43	 41.4	  0.0 
645	0	10	44	 43.0	  0.0 
646	0	10	45	 44.5	  0.0 
647	0	10	46	 37.9	  0.0 
648	0	10	47	 43.7	  0.0 
649	0	10	48	 43.8	  0.0 
650	0	10	49	 34.7	  0.0 
651	0	10	50	 36.3	  0.0 
652	0	10	51	 41.1	  0.0 
653	0	10	52	 43.5	  0.0 
654	0	10	53	 39.4	  0.0 
655	0	10	54	 36.9	  0.0 
656	0	10	55	 38.8	  0.0 
657	0	10	56	 35.8	  0.0 
658	0	10	57	 36.6	  0.0 
659	0	10	58	 38.0	  0.0 
660	0	10	59	 34.8	  0.0 
661	0	11	0	 40.9	  0.0 
662	0	11	1	 37.4	  0.0 
663	0	11	2	 39.8	  0.0 
664	0	11	3	 43.5	  0.0 
665	0	11	4	 39.8	  0.0 
666	0	11	5	 38.2	  0.0 
667	0	11	6	 41.5	  0.0 
668	0	11	7	 43.4	  0.0 
669	0	11	8	 51.4	  0.0 
670	0	11	9	 47.1	  0.0 
671	0	11	10	 39.2	  0.0 
672	0	11	11	 38.0	  0.0 
673	0	11	12	 40.2	  0.0 
