              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 16:21:02 (8/10/2025)
DRT4 Serial Number: #3173
Comment: 

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2



4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
381	0	6	20	  4.8	  0.0 
382	0	6	21	  2.9	  0.0 
383	0	6	22	  3.1	  0.0 
384	0	6	23	  3.2	  0.0 
385	0	6	24	  5.3	  0.0 
386	0	6	25	 10.5	  0.0 
387	0	6	26	  5.3	  0.0 
388	0	6	27	 11.7	  0.0 
389	0	6	28	 18.6	  0.0 
390	0	6	29	  2.9	  0.0 
391	0	6	30	  7.0	  0.0 
392	0	6	31	  5.8	  0.0 
393	0	6	32	 34.5	  0.0 
394	0	6	33	 20.9	  0.0 
395	0	6	34	 52.0	  0.0 
396	0	6	35	 27.1	  0.0 
397	0	6	36	 40.0	  0.0 
398	0	6	37	 23.3	  0.0 
399	0	6	38	 29.1	  0.0 
400	0	6	39	 24.0	  0.0 
401	0	6	40	 15.2	  0.0 
402	0	6	41	 15.2	  0.0 
403	0	6	42	 23.5	  0.0 
404	0	6	43	 15.7	  0.0 
405	0	6	44	 23.3	  0.0 
406	0	6	45	 14.4	  0.0 
407	0	6	46	 41.4	  0.0 
408	0	6	47	 73.7	  0.0 
409	0	6	48	 55.5	  0.0 
410	0	6	49	 60.9	  0.0 
411	0	6	50	 53.0	  0.0 
412	0	6	51	 62.4	  0.0 
413	0	6	52	 82.8	  0.0 
414	0	6	53	 52.0	  0.0 
415	0	6	54	 47.4	  0.0 
416	0	6	55	 38.0	  0.0 
417	0	6	56	 33.6	  0.0 
418	0	6	57	 23.9	  0.0 
419	0	6	58	 43.1	  0.0 
420	0	6	59	 63.1	  0.0 
421	0	7	0	 79.1	  0.0 
422	0	7	1	 85.8	  0.0 
423	0	7	2	 82.0	  0.0 
424	0	7	3	 52.2	  0.0 
425	0	7	4	 38.3	  0.0 
426	0	7	5	 27.7	  0.0 
427	0	7	6	 69.4	  0.0 
428	0	7	7	 99.7	  0.0 
429	0	7	8	111.8	  0.0 
430	0	7	9	 75.0	  0.0 
431	0	7	10	 22.9	  0.0 
432	0	7	11	 21.8	  0.0 
433	0	7	12	 17.4	  0.0 
434	0	7	13	 26.2	  0.0 
435	0	7	14	 24.0	  0.0 
436	0	7	15	 13.3	  0.0 
437	0	7	16	 10.8	  0.0 
438	0	7	17	 43.0	  0.0 
439	0	7	18	 44.3	  0.0 
440	0	7	19	 37.4	  0.0 
441	0	7	20	 40.4	  0.0 
442	0	7	21	 30.0	  0.0 
443	0	7	22	 38.3	  0.0 
444	0	7	23	 48.7	  0.0 
445	0	7	24	 29.7	  0.0 
446	0	7	25	 52.7	  0.0 
447	0	7	26	 25.3	  0.0 
448	0	7	27	 24.4	  0.0 
449	0	7	28	 53.1	  0.0 
450	0	7	29	 36.4	  0.0 
451	0	7	30	 35.9	  0.0 
452	0	7	31	 26.5	  0.0 
453	0	7	32	 56.1	  0.0 
454	0	7	33	 39.1	  0.0 
455	0	7	34	 89.8	  0.0 
456	0	7	35	110.0	  0.0 
457	0	7	36	108.4	  0.0 
458	0	7	37	 68.4	  0.0 
459	0	7	38	 86.5	  0.0 
460	0	7	39	 69.3	  0.0 
461	0	7	40	 44.7	  0.0 
462	0	7	41	 32.4	  0.0 
463	0	7	42	 36.0	  0.0 
464	0	7	43	 45.9	  0.0 
465	0	7	44	 37.9	  0.0 
466	0	7	45	 43.3	  0.0 
467	0	7	46	 58.4	  0.0 
468	0	7	47	 35.8	  0.0 
469	0	7	48	 42.2	  0.0 
470	0	7	49	 36.7	  0.0 
471	0	7	50	 34.1	  0.0 
472	0	7	51	 45.5	  0.0 
473	0	7	52	 33.8	  0.0 
474	0	7	53	 21.6	  0.0 
475	0	7	54	 22.9	  0.0 
476	0	7	55	 20.5	  0.0 
477	0	7	56	 26.5	  0.0 
478	0	7	57	 26.1	  0.0 
479	0	7	58	 74.8	  0.0 
480	0	7	59	 64.4	  0.0 
481	0	8	0	 35.5	  0.0 
482	0	8	1	 36.6	  0.0 
483	0	8	2	 34.5	  0.0 
484	0	8	3	 37.1	  0.0 
485	0	8	4	 34.5	  0.0 
486	0	8	5	 21.8	  0.0 
487	0	8	6	 16.6	  0.0 
488	0	8	7	 28.3	  0.0 
489	0	8	8	 20.7	  0.0 
490	0	8	9	 33.2	  0.0 
491	0	8	10	 77.0	  0.0 
492	0	8	11	 49.2	  0.0 
493	0	8	12	 38.3	  0.0 
494	0	8	13	 54.2	  0.0 
495	0	8	14	 38.8	  0.0 
496	0	8	15	 73.6	  0.0 
497	0	8	16	 40.1	  0.0 
498	0	8	17	 23.9	  0.0 
499	0	8	18	 19.7	  0.0 
500	0	8	19	 17.6	  0.0 
501	0	8	20	 21.9	  0.0 
502	0	8	21	 30.7	  0.0 
503	0	8	22	 60.7	  0.0 
504	0	8	23	 71.7	  0.0 
505	0	8	24	 38.8	  0.0 
506	0	8	25	 40.6	  0.0 
507	0	8	26	 29.8	  0.0 
508	0	8	27	 51.9	  0.0 
509	0	8	28	 42.4	  0.0 
510	0	8	29	 23.0	  0.0 
511	0	8	30	 17.2	  0.0 
512	0	8	31	 15.4	  0.0 
513	0	8	32	 11.2	  0.0 
514	0	8	33	 27.0	  0.0 
515	0	8	34	 41.3	  0.0 
516	0	8	35	 21.3	  0.0 
517	0	8	36	 18.4	  0.0 
518	0	8	37	 33.8	  0.0 
519	0	8	38	 34.4	  0.0 
